Timestamp,Average Bikes in Use,Average Temperature,Average Wind Speed,Normalised Average Bikes in Use,Normalised Average Temperature,Normalised Average Wind Speed
2019-01-01 22:00:05,14.07,5.72,2.95,0.038072239015135435,0.03144084371641085,0.03335938275481286
2019-01-01 22:20:04,14.15,5.57,3.1,0.03828871230022505,0.030616346066504974,0.03505562255590504
2019-01-01 22:40:03,14.15,5.57,3.1,0.03828871230022505,0.030616346066504974,0.03505562255590504
2019-01-01 23:00:05,14.15,5.05,2.96,0.03828871230022505,0.027758087546831258,0.033472465408219
2019-01-01 23:20:04,14.13,5.37,2.6,0.038234593978952645,0.029517015866630466,0.029401489885597775
2019-01-01 23:40:04,14.07,4.51,2.6,0.038072239015135435,0.024789896007170093,0.029401489885597775
2019-01-02 00:00:06,14.07,4.51,2.6,0.038072239015135435,0.024789896007170093,0.029401489885597775
2019-01-02 00:20:03,14.02,4.4,2.6,0.03793694321195443,0.024185264397239118,0.029401489885597775
2019-01-02 00:40:03,13.91,4.06,2.48,0.037639292444956216,0.022316403057452455,0.028044498044724028
2019-01-02 01:00:06,13.91,4.06,2.48,0.037639292444956216,0.022316403057452455,0.028044498044724028
2019-01-02 01:20:04,14.0,4.19,2.1,0.03788282489068203,0.02303096768737089,0.02374735721529051
2019-01-02 01:40:03,13.98,4.0,2.1,0.03782870656940963,0.021986603997490105,0.02374735721529051
2019-01-02 02:00:05,13.98,3.94,2.32,0.03782870656940963,0.02165680493752775,0.026235175590225705
2019-01-02 02:20:03,13.98,3.94,2.32,0.03782870656940963,0.02165680493752775,0.026235175590225705
2019-01-02 02:40:03,14.0,3.69,2.1,0.03788282489068203,0.02028264218768462,0.02374735721529051
2019-01-02 03:00:05,14.0,3.67,2.4,0.03788282489068203,0.020172709167697173,0.027139836817474866
2019-01-02 03:20:04,14.02,3.66,2.6,0.03793694321195443,0.020117742657703448,0.029401489885597775
2019-01-02 03:40:03,14.02,3.66,2.6,0.03793694321195443,0.020117742657703448,0.029401489885597775
2019-01-02 04:00:04,14.0,3.76,2.34,0.03788282489068203,0.0206674077576407,0.026461340897037992
2019-01-02 04:20:03,14.04,3.67,2.6,0.03799106153322683,0.020172709167697173,0.029401489885597775
2019-01-02 04:40:03,14.04,3.4,2.6,0.03799106153322683,0.01868861339786659,0.029401489885597775
2019-01-02 05:00:04,14.04,3.4,2.6,0.03799106153322683,0.01868861339786659,0.029401489885597775
2019-01-02 05:20:03,14.0,3.58,2.6,0.03788282489068203,0.019678010577753643,0.029401489885597775
2019-01-02 05:40:04,14.0,3.18,2.6,0.03788282489068203,0.017479350178004633,0.029401489885597775
2019-01-02 06:00:05,14.0,3.18,2.6,0.03788282489068203,0.017479350178004633,0.029401489885597775
2019-01-02 06:20:04,14.02,3.38,2.1,0.03793694321195443,0.018578680377879138,0.02374735721529051
2019-01-02 06:40:03,14.24,3.55,2.1,0.038532244745950864,0.019513111047772466,0.02374735721529051
2019-01-02 07:00:06,14.24,3.55,2.1,0.038532244745950864,0.019513111047772466,0.02374735721529051
2019-01-02 07:20:04,14.41,3.29,2.6,0.038992250476766285,0.01808398178793561,0.029401489885597775
2019-01-02 07:40:03,14.57,3.21,2.6,0.03942519704694551,0.01764424970798581,0.029401489885597775
2019-01-02 08:00:05,14.57,3.21,2.6,0.03942519704694551,0.01764424970798581,0.029401489885597775
2019-01-02 08:20:03,14.3,3.26,2.6,0.038694599709768074,0.017919082257954435,0.029401489885597775
2019-01-02 08:40:04,14.04,3.59,3.1,0.03799106153322683,0.019732977087747367,0.03505562255590504
2019-01-02 09:00:04,13.07,3.65,3.1,0.035366322951515296,0.02006277614770972,0.03505562255590504
2019-01-02 09:20:03,12.28,3.76,3.03,0.03322864926125538,0.0206674077576407,0.034264043982062016
2019-01-02 09:40:03,11.8,3.64,3.6,0.03192980955071771,0.020007809637715996,0.0407097552262123
2019-01-02 10:00:06,11.33,3.67,3.37,0.030658029000816243,0.020172709167697173,0.03810885419787096
2019-01-02 10:20:03,11.41,3.86,3.07,0.030874502285905853,0.02121707285757795,0.0347163745956866
2019-01-02 10:40:04,11.72,4.48,3.6,0.0317133362656281,0.02462499647718892,0.0407097552262123
2019-01-02 11:00:05,11.72,4.51,3.4,0.0317133362656281,0.024789896007170093,0.038448102158089394
2019-01-02 11:20:03,12.02,4.57,3.1,0.03252511108471414,0.025119695067132446,0.03505562255590504
2019-01-02 11:40:04,11.85,4.95,3.1,0.03206510535389871,0.027208422446894007,0.03505562255590504
2019-01-02 12:00:05,11.85,4.95,3.1,0.03206510535389871,0.027208422446894007,0.03505562255590504
2019-01-02 12:20:04,11.93,5.03,3.13,0.032281578638988326,0.02764815452684381,0.03539487051612347
2019-01-02 12:40:03,11.76,5.11,3.1,0.031821572908172904,0.02808788660679361,0.03505562255590504
2019-01-02 13:00:04,11.76,5.11,3.1,0.031821572908172904,0.02808788660679361,0.03505562255590504
2019-01-02 13:20:03,12.0,5.23,2.67,0.03247099276344174,0.028747484726718314,0.030193068459440787
2019-01-02 13:40:03,11.8,5.48,3.6,0.03192980955071771,0.030121647476561448,0.0407097552262123
2019-01-02 14:00:05,11.8,5.48,3.6,0.03192980955071771,0.030121647476561448,0.0407097552262123
2019-01-02 14:20:03,12.26,5.47,3.13,0.033174530939982974,0.030066680966567717,0.03539487051612347
2019-01-02 14:40:03,11.48,5.49,2.6,0.031063916410359264,0.03017661398655517,0.029401489885597775
